record,year,Month,ID No.,IDENTIFIER,Sighting,Wattles?,Calls,Organ song,Grubbing,Habit,Playback response,Other,Est # birds,Obs experience,Region,General Location,Specific Location,Easting,Northing,Date,Month,Descriptions,Rating: Merit,Distance ,Duration of view,,Rating:Priority,Comments,,,,,,,,
1,1990,1,1,Matiri 1990,1,1,0,0,1,gait,,0,2,1,Buller,Lake Matiri,Head of lake,1544480,5389339,1/01/1990,,"Two birds hopped from tree to a nearby log where they began picking at moss. Described as at least twice the size of robins, but similar colour and proportions. Estimated size; 8-10"" from top of head to ground, 5"" width. Bluey-grey plumage, and wattles distinctly seen. Colour of wattle yellow on one bird and more orange on the other. One seemed to have slightly larger wattles. There seemed to be a slight size difference between the birds too. Bill slightly curved at tip. Relatively long legs. Wing looked relatively short (didn't protrude backwards like e.g. blackbird). Tip of wing rounded, not pointed. Noted that birds hopped rather than ran along ground. Hops of about 2–3"" in length. Hopped on to rotten log about 3 m away, and picked at moss for about 5–10 minutes. Flicked moss off using a sideways motion of bill. The bill was inserted vertically into the moss, then the moss prised loose with a sideways flick. This was very distinct. Each dislodged clump of moss was about 2–3 times the size of a 50 cent coin. The birds were described as curious and confiding. ",Probable,5,5+ minutes,,Low,Reliability very good: Gordon was interviewed independantly by Peter Gaze for OSNZ,,,,,,,Probable,Possible
2,1992,3,2,Taipo 1992,1,?,0,0,0,0,,0,1,?,Central Westland,Taipo River,adjacent track,1470581,5265150,1/01/1992,,A south Island kokako came right down to the tree next to us on the track,Probable,< 10,3+,,Low,Near the lower reaches of the valley where the track climbs up a low saddle between the Taramakau and Taipo River.,,,,,,,,
3,1990,3,3,Louis Ck 1990,1,0,0,0,0,0,,0,1,?,Nelson Lakes,Howard Valley,Louis Creek,1571248,5375611,1/03/1990,,"No details given other than possible kokako sighting in the left branch of Louis Creek (approx. 10 minutes up from house, in regenerating forest.",Possible,7m (through binoculars),3 seconds,,Low,,,,,,,,,
4,1990,4,4,Louis Ck 1990_2,1,0,0,0,0,0,,0,1,1,Nelson Lakes,Howard River,Louis Creek - left branch,1571658,5375501,15/03/1990,,A kokako was reported as being seen,,10 - 20 m,45 seconds,,,Same record as above?,,,,,,,,
5,1990,2,5,Fleming River 1990,1,0,1,0,0,flight,,0,1,2,S.E. Otago,Fleming River,"2 km inland from Forest and Bird's Tautuku Lodge, podocarp forest on the edge of scrub/swampland",1322853,4835855,21/04/1990,,"Kokako-like call of three notes, last two in descending scale, large bird clumsy flight - 20m. ""21 April 1990 one to two km from F&B Tautuku Huts heard 3x flutey plaintive drawn out notes. Light snow falling. Few secs later a largish bird flew clumsily from where he had heard the call into a nearby tree. Thereafter no sight of bird.""",Possible,3m,2+min,,Low,,,,,,,,,
6,1997,1,6,Okuru 1997,1,0,0,0,0,0,,0,4,1,South Westland,Okuru,Ngatau R.,1291740,5113450,1/02/1997,,"Four unidentified birds flew out of bush for a short while before disappearing into a deep gully. They were a shiny, grey-blue colour. ",Possible,4m,1min,,Low,Previous sighting same locality by same observer,,,,,,,,
7,1997,11,7,Hurunui Sth Br 1997,1,0,0,0,0,0,0,0,1,3,Canterbury,Hurunui River,South Branch - Hurunui Mainland Island,1518070,5265000,24/01/1997,,"Dark bird glided across a clearing followed by another 10sec. later, larger than blackbird smaller than a magpie",Possible,7-10m,5-10min,,Low,Experienced observer,,,,,,,,
8,1990,11,8,Rakeahua Basin 1990,1,0,1,0,0,wing flap and flight,0,mimicry,1,3,Stewart Island,Rakeahua River,Upper Rakeahua River,1205063,4782413,14/11/1990,,"Single very loud chime call, wing flapping, hollow note   - mimicry by bellbirds and tui, large dark bird flying around the crown of a rimu tree",Possible,,,,Low,Check diary,,,,,,,,
9,1990,12,9,Rakeahua Basin 1990_2,1,0,1,0,1,wing flap and flight,0,0,1,3,Stewart Island,Rakeahua River,Koka Basin - Garden Saddle,1204456,4784615,2/11/1990,,"Hollow note,"" wong"" sound, wing flapping, click, clacking sound   - large dark bird flew and crashed into foliage - some fresh moss grubbing ",Possible,10 m,>3sec,,Low,,,,,,,,,
10,1990,3,10,Lk Hauroko 1990,0,0,1,0,0,0,0,mimicry,?,3,Fiordland,Lake Hauroko,End of Lill Burn Road near lake edge,1165259,4891619,3/12/1990,,Kokako-like calls at dawn and dusk   -mimicry from tui and bellbirds - bird sighted near here in 1983,Possible,,,,Low,Check diary,,,,,,,,
